fecha_contacto,cliente,forma_pago,ubicacion,m2_referencia,tipologia,sistema_constructivo,tipo_entrega,revestimiento,estado_lead,distancia_km,precio_cotizado
2024-04-12,Juan Gonzalez,CONTADO,BUENOS AIRES,33.9,MINIMALISTA,E.E,OBRA GRIS,MADERA,POTABLE,738.0,10984000.0
2025-03-11,Elena Martinez,,ALTA GRACIA,76.2,AMERICANA,S.F,OBRA GRIS,LADRILLO,POTABLE,40.0,26065000.0
2024-09-27,Jorge Sanchez,PLAN 36-60,LA PLATA,59.1,CABAÑA,W.F,OBRA GRIS,PIEDRA NATURAL,POTABLE,783.0,20574000.0
2024-04-16,Pedro Lopez,PLAN 36-60,CARLOS PAZ,49.3,AMERICANA,E.E,OBRA GRIS,MADERA,POTABLE,30.0,13998000.0
2024-03-12,Ana Lopez,FINANCIACION PROPIA,BUENOS AIRES,46.2,CABAÑA,E.E,OBRA GRIS,MADERA,NO LE INTERESA,740.0,14554000.0
2025-12-01,Juan Garcia,PLAN 36-60,ALTA GRACIA,57.8,AMERICANA,E.E,OBRA GRIS,PIEDRA NATURAL,POTABLE,36.0,16125000.0
2024-01-21,Pedro Gonzalez,PLAN 36-60,LA PLATA,63.2,MINIMALISTA,W.F,OBRA GRIS,PIEDRA NATURAL,POTABLE,734.0,20490000.0
2025-09-06,Elena Romero,PLAN 36-60,BUENOS AIRES,52.5,CABAÑA,S.F,LLAVE EN MANO,PIEDRA NATURAL,NO LE INTERESA,687.0,26954000.0
2024-05-01,Ana Garcia,FINANCIACION PROPIA,MENDIOLAZA,20.0,CABAÑA,S.F,LLAVE EN MANO,PIEDRA NATURAL,NO LE INTERESA,24.0,10287000.0
2025-04-11,Ana Gonzalez,CONTADO,CÓRDOBA CAPITAL,55.3,CABAÑA,E.E,LLAVE EN MANO,PIEDRA NATURAL,POTABLE,17.0,20650000.0
2024-08-02,Juan Gonzalez,CONTADO,ALTA GRACIA,26.2,MINIMALISTA,W.F,OBRA GRIS,LADRILLO,POTABLE,42.0,8279000.0
2024-11-26,Luis Perez,CONTADO,ALTA GRACIA,50.8,AMERICANA,S.F,LLAVE EN MANO,LADRILLO,POTABLE,60.0,24523000.0
2025-04-03,Diego Perez,CONTADO,SANTIAGO DEL ESTERO,26.9,MINIMALISTA,S.F,OBRA GRIS,PIEDRA NATURAL,NO LE INTERESA,458.0,10371000.0
2024-03-28,Lucia Martinez,FINANCIACION PROPIA,BUENOS AIRES,26.7,MINIMALISTA,S.F,LLAVE EN MANO,PIEDRA NATURAL,NO LE INTERESA,717.0,13908000.0
2025-01-07,Diego Martinez,CONTADO,LA PLATA,79.7,MINIMALISTA,S.F,LLAVE EN MANO,LADRILLO,NO LE INTERESA,732.0,39103000.0
2024-04-09,Pedro Sanchez,NO SABE,CÓRDOBA CAPITAL,48.6,AMERICANA,S.F,OBRA GRIS,MADERA,POTABLE,15.0,17286000.0
2025-10-25,Carla Martinez,CONTADO,BUENOS AIRES,47.1,MINIMALISTA,E.E,OBRA GRIS,LADRILLO,NO LE INTERESA,672.0,13552000.0
2024-05-10,Pedro Sanchez,FINANCIACION PROPIA,MENDIOLAZA,64.7,CABAÑA,E.E,OBRA GRIS,PIEDRA NATURAL,NO LE INTERESA,39.0,17576000.0
2025-10-23,Jorge Gonzalez,FINANCIACION PROPIA,CARLOS PAZ,,MINIMALISTA,E.E,OBRA GRIS,MADERA,NO LE INTERESA,38.0,13262000.0
2024-11-04,Diego Martinez,PLAN 36-60,ALTA GRACIA,97.1,AMERICANA,S.F,OBRA GRIS,PIEDRA NATURAL,NO LE INTERESA,54.0,33574000.0
2026-02-08,Carla Rodriguez,PLAN 36-60,CARLOS PAZ,49.5,CABAÑA,S.F,LLAVE EN MANO,MADERA,POTABLE,39.0,23942000.0
2024-12-09,Luis Sanchez,CONTADO,CARLOS PAZ,62.3,AMERICANA,S.F,OBRA GRIS,,POTABLE,55.0,21031000.0
2025-05-06,Carla Rodriguez,,CARLOS PAZ,74.4,MINIMALISTA,E.E,LLAVE EN MANO,LADRILLO,NO LE INTERESA,34.0,28809000.0
2025-02-17,Maria Gonzalez,CONTADO,SANTIAGO DEL ESTERO,87.0,AMERICANA,S.F,LLAVE EN MANO,PIEDRA NATURAL,POTABLE,400.0,44518000.0
2025-01-20,Pedro Rodriguez,PLAN 36-60,BUENOS AIRES,40.2,CABAÑA,E.E,OBRA GRIS,LADRILLO,POTABLE,719.0,12228000.0
2024-07-10,Pedro Garcia,FINANCIACION PROPIA,CARLOS PAZ,46.6,AMERICANA,S.F,LLAVE EN MANO,MADERA,NO LE INTERESA,54.0,23112000.0
2024-10-03,Lucia Romero,CONTADO,LA PLATA,80.5,CABAÑA,E.E,LLAVE EN MANO,LADRILLO,NO LE INTERESA,775.0,31618000.0
2024-06-09,Carla Romero,FINANCIACION PROPIA,LA PLATA,71.2,CABAÑA,W.F,OBRA GRIS,MADERA,NO LE INTERESA,719.0,22972000.0
2025-04-04,Maria Romero,CONTADO,CÓRDOBA CAPITAL,,MINIMALISTA,S.F,OBRA GRIS,PIEDRA NATURAL,POTABLE,19.0,27822000.0
2024-11-09,Carla Romero,PLAN 36-60,CÓRDOBA CAPITAL,27.6,MINIMALISTA,S.F,LLAVE EN MANO,LADRILLO,POTABLE,28.0,13337000.0
2024-01-22,Diego Lopez,,MENDIOLAZA,86.0,CABAÑA,E.E,LLAVE EN MANO,MADERA,POTABLE,20.0,33237000.0
2024-09-09,Juan Sanchez,PLAN 36-60,CARLOS PAZ,39.8,AMERICANA,S.F,LLAVE EN MANO,MADERA,NO LE INTERESA,34.0,20291000.0
2026-01-17,Pedro Lopez,PLAN 36-60,CARLOS PAZ,58.8,CABAÑA,E.E,OBRA GRIS,MADERA,POTABLE,50.0,16883000.0
2025-07-14,Lucia Perez,FINANCIACION PROPIA,SANTIAGO DEL ESTERO,52.0,MINIMALISTA,E.E,OBRA GRIS,MADERA,NO LE INTERESA,489.0,15685000.0
2025-04-19,Ana Lopez,NO SABE,BUENOS AIRES,37.4,AMERICANA,W.F,OBRA GRIS,PIEDRA NATURAL,POTABLE,731.0,13378000.0
2024-02-28,Lucia Garcia,CONTADO,CARLOS PAZ,26.7,CABAÑA,W.F,LLAVE EN MANO,PIEDRA NATURAL,POTABLE,55.0,11641000.0
2025-05-25,Elena Rodriguez,PLAN 36-60,CARLOS PAZ,20.1,MINIMALISTA,S.F,OBRA GRIS,PIEDRA NATURAL,NO LE INTERESA,32.0,7407000.0
2025-11-12,Carla Gonzalez,PLAN 36-60,BUENOS AIRES,57.4,CABAÑA,S.F,OBRA GRIS,MADERA,VENDIDO,715.0,22028000.0
2025-04-20,Luis Rodriguez,CONTADO,CARLOS PAZ,24.5,CABAÑA,E.E,LLAVE EN MANO,PIEDRA NATURAL,NO LE INTERESA,47.0,9419000.0
2025-11-30,Pedro Martinez,CONTADO,ALTA GRACIA,32.3,CABAÑA,E.E,LLAVE EN MANO,MADERA,VENDIDO,53.0,13128000.0
2026-02-21,Lucia Perez,CONTADO,ALTA GRACIA,50.6,AMERICANA,E.E,LLAVE EN MANO,MADERA,NO LE INTERESA,55.0,19737000.0
2024-07-08,Lucia Romero,PLAN 36-60,SANTIAGO DEL ESTERO,20.0,MINIMALISTA,E.E,OBRA GRIS,,POTABLE,492.0,6454000.0
2025-11-17,Luis Romero,FINANCIACION PROPIA,SANTIAGO DEL ESTERO,70.6,MINIMALISTA,S.F,OBRA GRIS,LADRILLO,POTABLE,436.0,24516000.0
2025-07-16,Elena Sanchez,FINANCIACION PROPIA,LA PLATA,20.0,CABAÑA,W.F,OBRA GRIS,PIEDRA NATURAL,NO LE INTERESA,714.0,7540000.0
